Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,24
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,3
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ສາວລາວ,ເລກທີ,,5
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,,ເລກທີ,,10
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,2
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,8
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,0
2016,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ສາວລາວ,ເລກທີ,,0
2017,ຈໍານວນຜູ້ເສຍຊີວິດຂອງ UXO ທີ່ລາຍງານມາແລ້ວ-ລວມ,,,ເລກທີ,,41
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,,ເລກທີ,,37
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,12
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,8
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,11
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ສາວລາວ,ເລກທີ,,6
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,,ເລກທີ,,4
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,3
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,0
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,0
2017,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ສາວລາວ,ເລກທີ,,1
2018,ຈໍານວນຜູ້ເສຍຊີວິດຂອງ UXO ທີ່ລາຍງານມາແລ້ວ-ລວມ,,,ເລກທີ,,24
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,,ເລກທີ,,21
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,4
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,8
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,4
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ສາວລາວ,ເລກທີ,,5
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,,ເລກທີ,,3
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,2
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,1
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,0
2018,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ສາວລາວ,ເລກທີ,,0
2019,ຈໍານວນຜູ້ເສຍຊີວິດຂອງ UXO ທີ່ລາຍງານມາແລ້ວ-ລວມ,,,ເລກທີ,,25
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,,ເລກທີ,,16
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,5
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,4
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,2
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ສາວລາວ,ເລກທີ,,5
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,,ເລກທີ,,9
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,8
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,1
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,0
2019,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ສາວລາວ,ເລກທີ,,0
2020,ຈໍານວນຜູ້ເສຍຊີວິດຂອງ UXO ທີ່ລາຍງານມາແລ້ວ-ລວມ,,,ເລກທີ,,33
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,,ເລກທີ,,24
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,11
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,9
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,2
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ທີ່ ໄດ້ ຮັບ ການ ລາຍ ງານ (disaggated by age group and sex)- ໄດ້ ຮັບ ບາດ ເຈັບ [18.1.1 ],,ສາວລາວ,ເລກທີ,,2
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,,ເລກທີ,,6
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຊາຍ,ເລກທີ,,6
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ເດັກຊາຍ,ເລກທີ,,1
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ຜູ້ຍິງ,ເລກທີ,,0
2020,ຈໍາ ນວນ ຜູ້ ເສຍ ຊີ ວິດ UXO ລາຍ ງານ (disaggated by age group and sex) - ຖືກ ຂ້າ ຕາຍ [18.1.1 ],,ສາວລາວ,ເລກທີ,,0
